Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year,Rank,Lifetime Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Scarface,8.3,"Crime, Drama",170.0,A,1983,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode VI - Return of the Jedi,8.3,"Action, Adventure, Fantasy",131.0,U,1983,270.0,482466382.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Das Boot,8.3,"Adventure, Drama, Thriller",149.0,R,1981,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Taxi Driver,8.3,"Crime, Drama",114.0,A,1976,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sting,8.3,"Comedy, Crime, Drama",129.0,U,1973,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Clockwork Orange,8.3,"Crime, Drama, Sci-Fi",136.0,A,1971,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2001: A Space Odyssey,8.3,"Adventure, Sci-Fi",149.0,U,1968,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Per qualche dollaro in più,8.3,Western,132.0,U,1965,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lawrence of Arabia,8.3,"Adventure, Biography, Drama",228.0,U,1962,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Apartment,8.3,"Comedy, Drama, Romance",125.0,U,1960,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
North by Northwest,8.3,"Adventure, Mystery, Thriller",136.0,U,1959,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Vertigo,8.3,"Mystery, Romance, Thriller",128.0,A,1958,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Singin' in the Rain,8.3,"Comedy, Musical, Romance",103.0,G,1952,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Ikiru,8.3,Drama,143.0,,1952,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladri di biciclette,8.3,Drama,89.0,,1948,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Indemnity,8.3,"Crime, Drama, Film-Noir",107.0,Passed,1944,,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Citizen Kane,8.3,"Drama, Mystery",119.0,UA,1941,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M - Eine Stadt sucht einen Mörder,8.3,"Crime, Mystery, Thriller",117.0,Passed,1931,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Metropolis,8.3,"Drama, Sci-Fi",153.0,,1927,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Kid,8.3,"Comedy, Drama, Family",68.0,Passed,1921,,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhichhore,8.2,"Comedy, Drama",143.0,UA,2019,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uri: The Surgical Strike,8.2,"Action, Drama, War",138.0,UA,2018,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K.G.F: Chapter 1,8.2,"Action, Drama",156.0,UA,2018,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Book,8.2,"Biography, Comedy, Drama",130.0,UA,2018,528.0,321752656.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three Billboards Outside Ebbing, Missouri",8.2,"Comedy, Crime, Drama",115.0,A,2017,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talvar,8.2,"Crime, Drama, Mystery",132.0,UA,2015,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Baahubali 2: The Conclusion,8.2,"Action, Drama",167.0,UA,2017,698.0,254158390.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klaus,8.2,"Animation, Adventure, Comedy",96.0,PG,2019,,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drishyam,8.2,"Crime, Drama, Mystery",163.0,UA,2015,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Queen,8.2,"Adventure, Comedy, Drama",146.0,UA,2013,,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandariinid,8.2,"Drama, War",87.0,,2013,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bhaag Milkha Bhaag,8.2,"Biography, Drama, Sport",186.0,U,2013,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gangs of Wasseypur,8.2,"Action, Comedy, Crime",321.0,A,2012,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udaan,8.2,Drama,134.0,UA,2010,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paan Singh Tomar,8.2,"Action, Biography, Crime",135.0,UA,2012,,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El secreto de sus ojos,8.2,"Drama, Mystery, Romance",129.0,R,2009,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Warrior,8.2,"Action, Drama, Sport",140.0,UA,2011,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shutter Island,8.2,"Mystery, Thriller",138.0,A,2010,598.0,294978537.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Up,8.2,"Animation, Adventure, Comedy",96.0,U,2009,136.0,735102136.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wolf of Wall Street,8.2,"Biography, Crime, Drama",180.0,A,2013,367.0,407039432.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chak De! India,8.2,"Drama, Family, Sport",153.0,U,2007,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
There Will Be Blood,8.2,Drama,158.0,A,2007,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pan's Labyrinth,8.2,"Drama, Fantasy, War",118.0,UA,2006,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Toy Story 3,8.2,"Animation, Adventure, Comedy",103.0,U,2010,44.0,1067316101.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V for Vendetta,8.2,"Action, Drama, Sci-Fi",132.0,A,2005,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rang De Basanti,8.2,"Comedy, Crime, Drama",167.0,UA,2006,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,8.2,Drama,122.0,U,2005,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batman Begins,8.2,"Action, Adventure",140.0,UA,2005,411.0,375406308.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swades: We, the People",8.2,Drama,210.0,U,2004,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Der Untergang,8.2,"Biography, Drama, History",156.0,R,2004,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hauru no ugoku shiro,8.2,"Animation, Adventure, Family",119.0,U,2004,,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Beautiful Mind,8.2,"Biography, Drama",135.0,UA,2001,539.0,316791257.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hera Pheri,8.2,"Action, Comedy, Crime",156.0,U,2000,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lock, Stock and Two Smoking Barrels",8.2,"Action, Comedy, Crime",107.0,A,1998,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.A. Confidential,8.2,"Crime, Drama, Mystery",138.0,A,1997,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eskiya,8.2,"Crime, Drama, Thriller",128.0,,1996,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Heat,8.2,"Crime, Drama, Thriller",170.0,A,1995,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Casino,8.2,"Crime, Drama",178.0,A,1995,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaz Apna Apna,8.2,"Action, Comedy, Romance",160.0,U,1994,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Unforgiven,8.2,"Drama, Western",130.0,A,1992,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
